model,prompt_type,runs,avg_ttft_sec,median_ttft_sec,p95_ttft_sec,avg_total_latency_sec,median_total_latency_sec,p95_total_latency_sec,avg_tokens_per_sec,median_tokens_per_sec
deepseek-chat,coding,5,0.7333312612005102,0.7714116940005624,0.8024308744003065,6.423364791000495,6.52612423500068,6.55237144260027,167.4483099431736,163.35444900878716
deepseek-chat,reasoning,5,0.5449096176005697,0.5803299310009606,0.6344101182003214,9.047261980400435,8.937894607000999,9.42466420780038,56.06969997123165,55.01998290244226
deepseek-chat,simple,5,0.6811498924005719,0.7155192420013918,0.8081606666004518,2.440850742000839,2.559899874000621,2.7604301144012426,41.29625203781673,40.84338555067194
deepseek-reasoner,coding,5,6.02646677033287,5.479212649999681,8.045765546899565,8.80561772439978,8.858945395999399,9.190667523999219,22.539286285380683,9.27309706117014
deepseek-reasoner,reasoning,5,9.199584129999494,9.199584129999494,9.199584129999494,9.947729352399984,9.931898759999967,10.353837374798605,0.5259061657361268,0.10068568197930396
deepseek-reasoner,simple,5,3.0851849134000076,3.138172171000406,3.5637376710001263,4.422753643599572,4.3736728519998,5.1725494069996785,19.040775202387326,20.196475750702646
deepseek-v4-flash,coding,5,7.242790353999832,7.199120186998698,7.665983002800021,9.372911027600276,9.642030740000337,10.465082429800168,9.845599914027062,6.456030813428257
deepseek-v4-flash,reasoning,5,7.206362157667172,7.360929551001391,9.84126583820016,10.188182338000114,10.294646509999438,10.508777113200631,8.766282388910927,1.1795312380140974
deepseek-v4-flash,simple,5,3.568387249400621,3.5048972010008583,4.128026295800373,4.909360169600404,4.9599241630003235,5.519316057799733,16.72526152116898,16.973216487610678
deepseek-v4-pro,coding,5,13.71982848980042,14.203248731000713,16.25756323960013,18.853102497000144,18.91094569300003,19.635556111399637,14.322473427970701,13.516289666612224
deepseek-v4-pro,reasoning,5,17.99020598466753,21.535881899000742,22.19378054450135,22.651523545799865,22.5850507819996,23.36666664379991,2.7382278243606963,0.046046128148921
deepseek-v4-pro,simple,5,13.969662680499823,13.969662680499823,15.721723464550632,16.673756147599853,16.270359419999295,18.1265025495999,2.1985254247137513,0.06680874419533075
